,0
1476,Sylosis
1477,Outrun the Fall
1478,Cult Of Luna
1479,InVisions
1480,Dagoba
1481,No Bragging Rights
1482,Manimal
1483,Defences
1484,I Am Your God
1485,Hypocrisy
1486,Saviour
1487,No name faces
1488,Elyne
1489,Earth Caller
1490,Resolve
1491,Tenside
1492,In Mourning
1493,Anomalie
1494,Reliqa
1495,Wolves At The Gate
1496,WARGASM (UK)
1497,Fixation
1498,Miguel
1499,Tank
1500,The War and Treaty
1501,Swamp Dogg
1502,Monophonics
1503,Jr. Walker & The All Stars
1504,The Main Squeeze
1505,Jonny P
1506,Four Tops
1507,Sharon Jones & The Dap-Kings
1508,Fontella Bass
1509,The Spinners
1510,The Bamboos
1511,Martha Reeves & The Vandellas
1512,Lee Fields & The Expressions
1513,The Isley Brothers
1514,Stealth
1515,The Elgins
1516,Arthur Conley
1517,The O'Jays
1518,Sly & The Family Stone
1519,The Chiffons
1520,Vintage Trouble
1521,The Staple Singers
1522,Ike & Tina Turner
1523,The Foundations
1524,The Contours
1525,Curtis Harding
1526,The Meters
1527,St. Paul & The Broken Bones
1528,Diplomats of Solid Sound
1529,Marlena Shaw
1530,COIN
1531,The Score
1532,Arlie
1533,Wet Leg
1534,Best Coast
1535,Inhaler
1536,Band of Horses
1537,I DONT KNOW HOW BUT THEY FOUND ME
1538,Blondes
1539,LØLØ
1540,Betcha
1541,Daphne's Couch
1542,Pom Pom Squad
1543,Caspr
1544,Windser
1545,HOKO
1546,Candid
1547,Judah & the Lion
1548,phem
1549,NOISY
1550,Boston Manor
1551,Ricky Himself
1552,Jaguar Jonze
1553,Beckett
1554,No Love For The Middle Child
1555,Hirsch
1556,Max Bennett Kelly
1557,The Drives
1558,LYELL
1559,Charming Liars
1560,Wilderado
1561,Smallpools
1562,DREAMERS
1563,Foreign Air
1564,Del Water Gap
1565,Dead Sara
1566,THE JACKS
1567,Winnetka Bowling League
1568,Sir Sly
1569,Troi Irons
1570,Blame My Youth
1571,Beauty School Dropout
1572,The War On Drugs
1573,The Record Company
1574,Indigo De Souza
1575,Manchester Orchestra
1576,Twen
1577,Girlpool
1578,Ceramic Animal
1579,Nathaniel Rateliff & The Night Sweats
1580,Future Islands
1581,Geese
1582,Adia Victoria
1583,Susto
1584,Superchunk
1585,Hurray For The Riff Raff
1586,Pinegrove
1587,NoSo
1588,The Cactus Blossoms
1589,Neal Francis
1590,cleopatrick
1591,Teenage Wrist
1592,Tigercub
1593,Chappaqua Wrestling
1594,IRONTOM
1595,The Luka State
1596,Michigander
1597,YONAKA
1598,Black Honey
1599,Slothrust
1600,Foxing
1601,Himalayas
1602,Dead Poet Society
1603,Plague Vendor
1604,Death From Above 1979
1605,KennyHoopla
1606,BRKN LOVE
1607,Kills Birds
1608,Turnstile
1609,PRONOUN
1610,The Pale White
1611,Hundredth
1612,Destroy Boys
1613,The Blue Stones
1614,The Velveteers
1615,Mourners
1616,White Reaper
1617,PÆRISH
1618,CRX
1619,George Barnett
1620,Quicksand
1621,Feeder
1622,Mondo Cozmo
1623,MOSES
1624,Tokyo Police Club
1625,New Candys
1626,Bass Drum of Death
1627,Superbloom
1628,Bel Heir
1629,Salt Creek
1630,Fangclub
1631,Rad Horror
1632,CARR
1633,Bexley
1634,Mouth Culture
1635,Valleyheart
1636,Strata
1637,Castlecomer
1638,Twin Wild
1639,Royal Tusk
1640,WAAX
1641,ISLAND
1642,Demob Happy
1643,Electric Enemy
1644,Normandie
1645,Webbed Wing
1646,Mt. Eddy
1647,Pale Seas
1648,The Dose
1649,Sego
1650,COLISION
1651,Dinosaur Pile-Up
1652,Blonder
1653,Middle Class Rut
1654,Eliza & The Delusionals
1655,The Dangerous Summer
1656,Zero 9:36
1657,Skegss
1658,The Aquadolls
1659,Suntitle
1660,Bakers Eddy
1661,FEWS
1662,Saint Agnes
1663,Dude Safari
1664,Headfirst
1665,Ron Gallo
1666,The Amazons
1667,Lonely Spring
1668,allusinlove
1669,Never Not Nothing
1670,Island Apollo
1671,Only Shadows
1672,Basement
1673,Arrested Youth
1674,Soul Blind
1675,Coach Party
1676,Cloud Nothings
1677,CAKE
1678,Motion City Soundtrack
1679,Blind Melon
1680,The Darkness
1681,Grizzly Bear
1682,Jane's Addiction
1683,The Flaming Lips
1684,The Postal Service
1685,Bush
1686,Say Anything
1687,Built To Spill
1688,TV On The Radio
1689,The Naked And Famous
1690,Empire of the Sun
1691,The Bravery
1692,Sunny Day Real Estate
1693,Pavement
1694,Peter Bjorn and John
1695,The Vines
1696,The Walkmen
1697,Supergrass
1698,LCD Soundsystem
1699,The Breeders
1700,The Faint
1701,Head Automatica
1702,The Stills
1703,The Knife
1704,Elbow
1705,The Rapture
1706,Art Brut
1707,Travis
1708,Delicate Steve
1709,Big Thief
1710,Faye Webster
1711,Grimes
1712,Unknown Mortal Orchestra
1713,The Big Moon
1714,Parcels
1715,Sorry
1716,Gengahr
1717,Broken Bells
1718,Metronomy
1719,Rostam
1720,The Orielles
1721,The Horrors
1722,Oddnesse
1723,Fontaines D.C.
1724,Dirty Pretty Things
1725,The Futureheads
1726,Gossip
1727,Editors
1728,The Go! Team
1729,Edward Sharpe & The Magnetic Zeros
1730,Los Campesinos!
1731,Black Kids
1732,Hot Chip
1733,Glasvegas
1734,Darwin Deez
1735,The Pigeon Detectives
1736,Maximo Park
1737,Randy Crawford
1738,Camille Yarbrough
1739,Frankie Valli & The Four Seasons
1740,Average White Band
1741,Sam & Dave
1742,Gloria Jones
1743,Baby Charles
1744,CHIC
1745,Funkadelic
1746,George McCrae
1747,Booker T. & the M.G.'s
1748,Jackson Sisters
1749,Just Brothers
1750,Charles Wright & The Watts 103rd Street Rhythm Band
1751,Gwen McCrae
1752,The Tams
1753,Rufus
1754,Chairmen Of The Board
1755,The Brothers Johnson
1756,Rotary Connection
1757,WILSN
1758,Dojo Cuts
1759,Fat Night
1760,Gabriels
1761,The Marcus King Band
1762,Carlton Jumel Smith
1763,The Suffers
1764,Son Little
1765,Mamas Gun
1766,Collin Miller & the Brother Nature
1767,Shuko
1768,Myles Sanko
1769,The Tibbs
1770,Quinn Devlin & The Bridge Street Kings
1771,Jason Joshua & The Beholders
1772,El Michels Affair
1773,Joey Dosik
1774,The New Mastersounds
1775,"Eli ""Paperboy"" Reed"
1776,Eddie 9V
1777,Black Joe Lewis & The Honeybears
1778,William DeVaughn
1779,Johnny Bristol
1780,King Floyd
1781,The Dramatics
1782,Lyn Collins
1783,Linda Fields
1784,"Bobby ""Blue"" Bland"
1785,Yvonne Fair
1786,Mel & Tim
1787,The Undisputed Truth
1788,Denise LaSalle
1789,Phony Ppl
1790,Radiant Children
1791,Berhana
1792,Free Nationals
1793,Busty and the Bass
1794,Otis Kane
1795,Stokley
1796,Shay Lia
1797,KIRBY
1798,Rare Essence
1799,Nia Sultana
1800,Ciscero
1801,Solange
1802,Tank and The Bangas
1803,Rayana Jay
1804,Rudey Barnes
1805,Odyssey
1806,The Marvelettes
1807,Old Dominion
1808,HARDY
1809,Roman Alexander
1810,Drew Parker
1811,Jameson Rodgers
1812,Renee Blair
1813,Big & Rich
1814,The Judds
1815,Larry Gatlin & The Gatlin Brothers
1816,Henson Cargill
1817,Shenandoah
1818,Alabama
1819,SixForty1
1820,Halle Kearns
1821,Zack Dyer
1822,Luke and Kaylee
1823,FINMAR
1824,Johnny Dailey
1825,Bri Fletcher
1826,Shawn Austin
1827,Smithfield
1828,Teddy Robb
1829,Rodell Duff
1830,Dylan Marlowe
1831,BEXAR
1832,Jenna Paulette
1833,Ian Munsick
1834,Hannah May Allison
1835,Kat & Alex
1836,Niko Moon
1837,Kaylee Bell
1838,Matt Stell
1839,Pierre Alexander
1840,Tyler Booth
1841,Jordan Rowe
1842,Dillon Carmichael
1843,Warren Zeiders
1844,HIXTAPE
1845,Ray Fulcher
1846,Drew Green
1847,Madeline Edwards
1848,Caitlin Quisenberry
1849,Troy Cartwright
1850,Jeb Gipson
1851,Rod + Rose
1852,Bailey Zimmerman
1853,Kassi Ashton
1854,Elvie Shane
1855,Larry Fleet
1856,David J
1857,Casey Barnes
1858,Tenille Townes
1859,Cam
1860,Mitch Rossell
1861,Blane Howard
1862,King Calaway
1863,Tiera
1864,ERNEST
1865,Filmore
1866,Payton Howie
1867,Cory Marks
1868,Kendell Marvel
1869,Kylie Morgan
1870,Jeremy McComb
1871,Blackberry Smoke
1872,Striking Matches
1873,Heath Sanders
1874,Josh Meloy
1875,Whelan Stone
1876,LOCASH
1877,Dusty Black
1878,Blackjack Billy
1879,Jobe Fortner
1880,Shawn David
1881,Taylor McCall
1882,Manny Blu
1883,The Cadillac Three
1884,The Steel Woods
1885,Stephen Wilson Jr.
1886,Tim Montana
1887,Ryan Kinder
1888,Robert Counts
1889,Jacob Bryant
1890,Kaleb Austin
1891,Bobby McClendon
1892,Tanner Usrey
1893,The Georgia Thunderbolts
1894,Dew Pendleton
1895,Bones Owens
1896,Seth Anthony
1897,Read Southall Band
1898,Whiskey Myers
1899,Ghost Hounds
1900,Kenton Bryant
1901,Cody Hibbard
1902,Naked Gypsy Queens
1903,Dave Fenley
1904,Them Dirty Roses
1905,Hayden Coffman
1906,Jackson+Sellers
1907,Nashvillains
1908,Sarah Proctor
1909,The Weather Girls
1910,Soft Cell
1911,Dead Or Alive
1912,The Human League
1913,Sylvester
1914,Deee-Lite
1915,The Source
1916,Pet Shop Boys
1917,KC & The Sunshine Band
1918,Bronski Beat
1919,Indeep
1920,Frankie Goes To Hollywood
1921,Right Said Fred
1922,Yazoo
1923,IndyAnna Baby
1924,Bennett
1925,Wolfjay
1926,Smooth Jas
1927,Jay Page
1928,Michaela Jaé
1929,Ethel Cain
1930,Yves Tumor
1931,Urias
1932,Randa
1933,Cuee
1934,Legwurk
1935,Miss Blanks
1936,EGOISM
1937,SOPHIE
1938,imbi
1939,Adult Mom
1940,Reggii
1941,Freddie
1942,Tunde Olaniran
1943,Katie Dey
1944,Dazey and the Scouts
1945,Kimmortal
1946,Rachel Maria Cox
1947,Octo Octa
1948,Alice Ivy
1949,Kindness
1950,Dorian Electra
1951,Sports Bra
1952,Andrew Broder
1953,SuperKnova
1954,Cry Club
1955,Sir Babygirl
1956,Mavi Phoenix
1957,Madame Gandhi
1958,Godford
1959,Lonelyspeck
1960,RVG
1961,CJ Run
1962,Grayson
1963,Shawnee
1964,Zann Foth
1965,Shygirl
1966,Honey Dijon
1967,India Jordan
1968,LSDXOXO
1969,Hannah Holland
1970,Elkka
1971,Midland
1972,Dimitri From Paris
1973,Louisahhh
1974,Romy
1975,Cakes da Killa
1976,Horse Meat Disco
1977,ABSOLUTE.
1978,Kiddy Smile
1979,CAYAM
1980,TAAHLIAH
1981,Meg Ward
1982,Object Blue
1983,Giolì & Assia
1984,Joshua James
1985,Tygapaw
1986,Lynks
1987,Fatima Al Qadiri
1988,Grove
1989,The Blessed Madonna
1990,Wax Wings
1991,Hercules & Love Affair
1992,Bored Lord
1993,Sega Bodega
1994,LCY
1995,NIMMO
1996,GAIKA
1997,Zebra Katz
1998,LYZZA
1999,Sassy 009
2000,Moore Kismet
2001,Lupa J
2002,rRoxymore
2003,gayphextwin
2004,Laurel Halo
2005,DJ Haram
2006,KDA
2007,Faka
2008,MAY-A
2009,Hope Tala
2010,Emily McMichael
2011,L Devine
2012,Ash Olsen
2013,Pillow Queens
2014,Ilgen-Nur
2015,Lava La Rue
2016,BLOXX
2017,Dream Wife
2018,Joesef
2019,Liz Lawrence
2020,GIRLI
2021,Lauren Auder
2022,Martha Hill
2023,The Internet
2024,Okay Kaya
2025,BEGINNERS
2026,TORRES
2027,Keep Dancing Inc
2028,Lo Knowles
2029,Alex the Astronaut
2030,Ceréna
2031,Evvol
2032,Better Person
2033,Magic Island
2034,Jealous
2035,Wafia
2036,Minelli
2037,Tinlicker
2038,Mabel
2039,Elderbrook
2040,Jayda G
2041,Goodboys
2042,RÜFÜS DU SOL
2043,Ewan McVicar
2044,Axel Black & White
2045,Danny Quest
2046,TSHA
2047,Dom Dolla
2048,ILIRA
2049,Tony Igy
2050,Sons Of Maria
2051,Petey Martin
2052,GAMPER & DADONI
2053,Hook N Sling
2054,Soundwaves
2055,Antoine Cara
2056,One Bit
2057,Steve Brian
2058,Deacon
2059,Natio
2060,Stace Cadet
2061,Seeb
2062,Metrush
2063,Costa
2064,BUNT.
2065,Disciples
2066,J Lisk
2067,Goldroom
2068,Jack Wins
2069,Young Bombs
2070,LODATO
2071,Disco Killerz
2072,Kaptan
2073,Claptone
2074,Wh0
2075,Conro
2076,PNAU
2077,Redondo
2078,SACHI
2079,Holiday87
2080,Joe Killington
2081,TCTS
2082,Midsplit
2083,Clément Leroux
2084,Matisse & Sadko
2085,Dave Winnel
2086,Dastic
2087,MALARKEY
2088,DAZZ
2089,R Plus
2090,Lee Wilson
2091,The Shapeshifters
2092,Wizman
2093,House Gospel Choir
2094,Mojjo
2095,Darin
2096,Jubël
2097,Shoffy
2098,Tez Cadey
2099,Klangkarussell
2100,Shallou
2101,Parra for Cuva
2102,filous
2103,The Avener
2104,Fritz Kalkbrenner
2105,Poolside
2106,Wingtip
2107,Ten Walls
2108,American Authors
2109,Crash Test Dummies
2110,Blue
2111,Ms. Lauryn Hill
2112,Hanson
